"","PowerRanking","Celebrities","Pay"
"1",1,"Tom Cruise",67
"2",2,"Rolling Stones",90
"3",3,"Oprah Winfrey",225
"4",4,"U2",110
"5",5,"Tiger Woods",90
"6",6,"Steven Spielherg",332
"7",7,"Howard Stern",302
"8",8,"50 Cent",41
"9",9,"Cast of the Sopranos",52
"10",10,"Dan Brown",88
"11",11,"Bruce Springsteen",55
"12",12,"Donald Trump",44
"13",13,"Muhammad Ali",55
"14",14,"Paul McCartney",40
"15",15,"George Lucas",233
"16",16,"Elton John",34
"17",17,"David Letterman",40
"18",18,"Phil Mickelson",47
"19",15,"J.K Rowling",90
"20",20,"Bradd Pitt",25
"21",21,"Peter Jackson",39
"22",22,"Dr. Phil McGraw",45
"23",23,"Jay Lenon",32
"24",24,"Celine Dion",40
"25",25,"Kobe Bryant",31
